OfiiiTV,#genre#
台視,https://ocean.ofiii.com/hls/v1/playlist/QpCNbcdYoUI/master.m3u8
中視,https://ocean.ofiii.com/hls/v1/playlist/Ig7jYm_-Uuo/master.m3u8
華視,https://ocean.ofiii.com/hls/v1/playlist/rjnLoMLM8Sw/master.m3u8
好消息2台,https://ocean.ofiii.com/hls/v1/playlist/3UvzA6UnmL0/master.m3u8
好消息,https://ocean.ofiii.com/hls/v1/playlist/HhtK0MBTBC8/master.m3u8
ELTV生活英語台,https://ocean.ofiii.com/hls/v1/playlist/T7xryhNQ5uo/master.m3u8
龍華卡通台,https://ocean.ofiii.com/hls/v1/playlist/eHU82yYYUcc/master.m3u8
哆啦Ａ夢台,https://ocean.ofiii.com/hls/v1/playlist/wjLk5EVt_XM/master.m3u8
亞洲旅遊台,https://ocean.ofiii.com/hls/v1/playlist/a0DG8ZTN7-A/master.m3u8
Smart知識台,https://ocean.ofiii.com/hls/v1/playlist/0_A2ydJ4S8E/master.m3u8
年代MUCH綜藝台,https://ocean.ofiii.com/hls/v1/playlist/9PY2822j_NI/master.m3u8
龍華戲劇台,https://ocean.ofiii.com/hls/v1/playlist/SxzIlfqtlEI/master.m3u8
台灣戲劇台,https://ocean.ofiii.com/hls/v1/playlist/2jk3jy9tX0o/master.m3u8
Focus風采戲劇台,https://ocean.ofiii.com/hls/v1/playlist/VQIhoCj9CsY/master.m3u8
東森購物1台,https://ocean.ofiii.com/hls/v1/playlist/1J2gxBZZG4A/master.m3u8
龍華偶像台,https://ocean.ofiii.com/hls/v1/playlist/pfIQ6z_SX6s/master.m3u8
龍華日韓台,https://ocean.ofiii.com/hls/v1/playlist/bMppD4JCDhM/master.m3u8
Yes娛樂,https://ocean.ofiii.com/hls/v1/playlist/FD71rFwDq6Y/master.m3u8
東森購物2台,https://ocean.ofiii.com/hls/v1/playlist/ByWDt98l7o0/master.m3u8
掏掏新聞,https://ocean.ofiii.com/hls/v1/playlist/RUmvp72UIEE/master.m3u8
華視新聞,https://ocean.ofiii.com/hls/v1/playlist/gfdpMzIsoas/master.m3u8
寰宇財經台,https://ocean.ofiii.com/hls/v1/playlist/7hMRUllj84o/master.m3u8
台視新聞,https://ocean.ofiii.com/hls/v1/playlist/VDQvXIcAEhc/master.m3u8
中視新聞,https://ocean.ofiii.com/hls/v1/playlist/ybB_6kWJLw8/master.m3u8
中天新聞台,https://ocean.ofiii.com/hls/v1/playlist/6A1X1Hgx_x8/master.m3u8
寰宇新聞台灣台,https://ocean.ofiii.com/hls/v1/playlist/QltawBV9YTs/master.m3u8
寰宇新聞台,https://ocean.ofiii.com/hls/v1/playlist/poOVEJ177zU/master.m3u8
第1財經,https://ocean.ofiii.com/hls/v1/playlist/5ENm7PgyWQ4/master.m3u8
第1商業台,https://ocean.ofiii.com/hls/v1/playlist/DQOEkDHpD0Y/master.m3u8
國會頻道1台,https://ocean.ofiii.com/hls/v1/playlist/29IIx0aogHU/master.m3u8
國會頻道2台,https://ocean.ofiii.com/hls/v1/playlist/bxFoHB8sE9k/master.m3u8
龍華經典台,https://ocean.ofiii.com/hls/v1/playlist/ZNx7gpxofFQ/master.m3u8
龍華電影台,https://ocean.ofiii.com/hls/v1/playlist/xVbjfh6Jh5E/master.m3u8
歐飛電影台,https://ocean.ofiii.com/hls/v1/playlist/EH33XINTUZ0/master.m3u8
Focus探索新知台,https://ocean.ofiii.com/hls/v1/playlist/YfqCo1PkKbo/master.m3u8
東森購物快閃台,https://ocean.ofiii.com/hls/v1/playlist/9mg3aACpvFA/master.m3u8
LiTV 好康優惠,https://ocean.ofiii.com/hls/v1/playlist/FFnpA8t9ok0/master.m3u8
銀髮聚樂部,https://ocean.ofiii.com/hls/v1/playlist/Vc3KJRFpTgw/master.m3u8
琅琊榜,https://ocean.ofiii.com/hls/v1/playlist/acAXKmljSBQ/master.m3u8
山河月明,https://ocean.ofiii.com/hls/v1/playlist/sfJO8Jw3JmQ/master.m3u8
三十而已,https://ocean.ofiii.com/hls/v1/playlist/uFvRCZfGU8U/master.m3u8
去有風的地方,https://ocean.ofiii.com/hls/v1/playlist/pnbXH67Ng3A/master.m3u8
綜藝玩很大,https://ocean.ofiii.com/hls/v1/playlist/LYtJ627fa9U/master.m3u8
全民星攻略,https://ocean.ofiii.com/hls/v1/playlist/Y1-gM_yy8-s/master.m3u8
台灣1001個故事,https://ocean.ofiii.com/hls/v1/playlist/fL1Qd7NNeq8/master.m3u8
台灣啟示錄,https://ocean.ofiii.com/hls/v1/playlist/cG_mNfCyYG0/master.m3u8
歡迎來到第2人生,https://ocean.ofiii.com/hls/v1/playlist/Rj65OXeJSC8/master.m3u8
大發不動產,https://ocean.ofiii.com/hls/v1/playlist/OzVAy-j2s5Q/master.m3u8
檢法男女2,https://ocean.ofiii.com/hls/v1/playlist/CT-tL-Tb0tE/master.m3u8
