OfiiiTV,#genre#
台視,https://ocean.ofiii.com/hls/v1/playlist/WToTOf7XkhA/master.m3u8
中視,https://ocean.ofiii.com/hls/v1/playlist/7HjfHN96j8g/master.m3u8
華視,https://ocean.ofiii.com/hls/v1/playlist/pl3nvY2orJ0/master.m3u8
好消息2台,https://ocean.ofiii.com/hls/v1/playlist/irQMIDyMw5I/master.m3u8
好消息,https://ocean.ofiii.com/hls/v1/playlist/okrDZFkhfzE/master.m3u8
ELTV生活英語台,https://ocean.ofiii.com/hls/v1/playlist/00-MYY0JfUY/master.m3u8
龍華卡通台,https://ocean.ofiii.com/hls/v1/playlist/EyfjvMjjwB0/master.m3u8
哆啦Ａ夢台,https://ocean.ofiii.com/hls/v1/playlist/KL3F3ZdDfaw/master.m3u8
亞洲旅遊台,https://ocean.ofiii.com/hls/v1/playlist/DQb5hZGp6Ag/master.m3u8
Smart知識台,https://ocean.ofiii.com/hls/v1/playlist/EukFZa1i1G8/master.m3u8
年代MUCH綜藝台,https://ocean.ofiii.com/hls/v1/playlist/jNOLFekzJ18/master.m3u8
龍華戲劇台,https://ocean.ofiii.com/hls/v1/playlist/LUdhlXCkpeI/master.m3u8
台灣戲劇台,https://ocean.ofiii.com/hls/v1/playlist/e883_36njgk/master.m3u8
Focus風采戲劇台,https://ocean.ofiii.com/hls/v1/playlist/NdObg03sG_s/master.m3u8
東森購物1台,https://ocean.ofiii.com/hls/v1/playlist/Hvrjl-2lnrg/master.m3u8
龍華偶像台,https://ocean.ofiii.com/hls/v1/playlist/2pxGgQjJvLk/master.m3u8
龍華日韓台,https://ocean.ofiii.com/hls/v1/playlist/dUBNuavL51s/master.m3u8
Yes娛樂,https://ocean.ofiii.com/hls/v1/playlist/flWXR93KTno/master.m3u8
東森購物2台,https://ocean.ofiii.com/hls/v1/playlist/kkHTMUr7wEU/master.m3u8
掏掏新聞,https://ocean.ofiii.com/hls/v1/playlist/2yjGVZbsHkU/master.m3u8
華視新聞,https://ocean.ofiii.com/hls/v1/playlist/pNoq23N29U0/master.m3u8
寰宇財經台,https://ocean.ofiii.com/hls/v1/playlist/4flxzZnbWy8/master.m3u8
