OfiiiTV,#genre#
台視,https://ocean.ofiii.com/hls/v1/playlist/LpQhILwiutA/master.m3u8
中視,https://ocean.ofiii.com/hls/v1/playlist/mDApJ2UQFsk/master.m3u8
華視,https://ocean.ofiii.com/hls/v1/playlist/BBWWEPEOipg/master.m3u8
好消息2台,https://ocean.ofiii.com/hls/v1/playlist/HW6FRdx7CtY/master.m3u8
好消息,https://ocean.ofiii.com/hls/v1/playlist/kp5JE3X8mjc/master.m3u8
ELTV生活英語台,https://ocean.ofiii.com/hls/v1/playlist/tBo-Q6SPT6M/master.m3u8
龍華卡通台,https://ocean.ofiii.com/hls/v1/playlist/9q1cDyoiYBk/master.m3u8
哆啦Ａ夢台,https://ocean.ofiii.com/hls/v1/playlist/tHyxJ-XD3Nw/master.m3u8
亞洲旅遊台,https://ocean.ofiii.com/hls/v1/playlist/5x5bZodOQTU/master.m3u8
Smart知識台,https://ocean.ofiii.com/hls/v1/playlist/qVfgy19Dvlw/master.m3u8
年代MUCH綜藝台,https://ocean.ofiii.com/hls/v1/playlist/BQ7-_92DDzQ/master.m3u8
龍華戲劇台,https://ocean.ofiii.com/hls/v1/playlist/josBIN-XVB8/master.m3u8
台灣戲劇台,https://ocean.ofiii.com/hls/v1/playlist/QG_craP0S8s/master.m3u8
Focus風采戲劇台,https://ocean.ofiii.com/hls/v1/playlist/_op_t_7g7EM/master.m3u8
東森購物1台,https://ocean.ofiii.com/hls/v1/playlist/4_NkMbg_FIs/master.m3u8
龍華偶像台,https://ocean.ofiii.com/hls/v1/playlist/uzwEKAfVnqI/master.m3u8
龍華日韓台,https://ocean.ofiii.com/hls/v1/playlist/4bNyNVhBxKY/master.m3u8
Yes娛樂,https://ocean.ofiii.com/hls/v1/playlist/M05TZ5nypTg/master.m3u8
東森購物2台,https://ocean.ofiii.com/hls/v1/playlist/yIbsfvpvQOA/master.m3u8
掏掏新聞,https://ocean.ofiii.com/hls/v1/playlist/G0OueumjdAM/master.m3u8
華視新聞,https://ocean.ofiii.com/hls/v1/playlist/AuYLCIru3Kk/master.m3u8
寰宇財經台,https://ocean.ofiii.com/hls/v1/playlist/oIsh21Bi7Po/master.m3u8
台視新聞,https://ocean.ofiii.com/hls/v1/playlist/1pF0YsRtZkQ/master.m3u8
中視新聞,https://ocean.ofiii.com/hls/v1/playlist/050BzCPvSDg/master.m3u8
中天新聞台,https://ocean.ofiii.com/hls/v1/playlist/3Qbqn4IpiPQ/master.m3u8
寰宇新聞台灣台,https://ocean.ofiii.com/hls/v1/playlist/nUe8c9iEJDc/master.m3u8
寰宇新聞台,https://ocean.ofiii.com/hls/v1/playlist/Nct5Vp_mr-Q/master.m3u8
第1財經,https://ocean.ofiii.com/hls/v1/playlist/g-ZS1JuAe-4/master.m3u8
第1商業台,https://ocean.ofiii.com/hls/v1/playlist/ItD-0YkDjZM/master.m3u8
國會頻道1台,https://ocean.ofiii.com/hls/v1/playlist/VIvA_hspDb8/master.m3u8
國會頻道2台,https://ocean.ofiii.com/hls/v1/playlist/AgxmaEtso98/master.m3u8
龍華經典台,https://ocean.ofiii.com/hls/v1/playlist/Z3GMuq0nZqU/master.m3u8
龍華電影台,https://ocean.ofiii.com/hls/v1/playlist/oVXHXyfv10s/master.m3u8
歐飛電影台,https://ocean.ofiii.com/hls/v1/playlist/4Q2pJz_oggk/master.m3u8
Focus探索新知台,https://ocean.ofiii.com/hls/v1/playlist/acA-aPGyZn8/master.m3u8
東森購物快閃台,https://ocean.ofiii.com/hls/v1/playlist/DJt7D7sTZWk/master.m3u8
LiTV 好康優惠,https://ocean.ofiii.com/hls/v1/playlist/U6EwgZBuuOk/master.m3u8
銀髮聚樂部,https://ocean.ofiii.com/hls/v1/playlist/oMg8tguFbjQ/master.m3u8
琅琊榜,https://ocean.ofiii.com/hls/v1/playlist/YGIE5xpfprM/master.m3u8
山河月明,https://ocean.ofiii.com/hls/v1/playlist/FWPgsSraGj8/master.m3u8
三十而已,https://ocean.ofiii.com/hls/v1/playlist/IORCF3Y2vCI/master.m3u8
去有風的地方,https://ocean.ofiii.com/hls/v1/playlist/i0K7aRtLTWA/master.m3u8
綜藝玩很大,https://ocean.ofiii.com/hls/v1/playlist/knw4U5fWcB8/master.m3u8
全民星攻略,https://ocean.ofiii.com/hls/v1/playlist/8hwAYO8vSm0/master.m3u8
台灣1001個故事,https://ocean.ofiii.com/hls/v1/playlist/RAs7oQb7raU/master.m3u8
台灣啟示錄,https://ocean.ofiii.com/hls/v1/playlist/PIM8eSmCwa0/master.m3u8
歡迎來到第2人生,https://ocean.ofiii.com/hls/v1/playlist/eH2dkun3i_A/master.m3u8
大發不動產,https://ocean.ofiii.com/hls/v1/playlist/s4Zvia3u07Y/master.m3u8
檢法男女2,https://ocean.ofiii.com/hls/v1/playlist/T6xm83pvRL4/master.m3u8
台灣X檔案,https://ocean.ofiii.com/hls/v1/playlist/F8wGP-Q9f70/master.m3u8
大叔的愛,https://ocean.ofiii.com/hls/v1/playlist/SJP7xafsKQU/master.m3u8
SiCAR愛車酷,https://ocean.ofiii.com/hls/v1/playlist/-AXQOJFnJ3o/master.m3u8
